username,password,email,type,borrowing,renting,subscribed,lostBookCount,courses,tbHistory
brunni,hehehaha,brunni@gmail.com,STUDENT,2024-02-23 cheese#4 2023-02-23 rateconomy#6 cheese#2 rateconomy#5 cheese#4 2023-02-23 rateconomy#6 cheese#2 rateconomy#5,2024-02-23,times reut,5,lotion231 cheese,
TaylorSwift,tay,tayswifty@email.com,FACULTY,2024-04-25 cheese#7 cheese#7,2024-04-25,,0,lotion231,lotion231
beidouyuri,ilovelesbian,beidou@gmail.com,STUDENT,,,,0,,
manager,admin,themanager@gmail.com,MANAGER,,,,0,,
TaylorSwift,tay,tayswifty@email.com,FACULTY,,,,0,,
bunni,bun,bunni@gmail.com,MANAGER,,,,0,,
braindon,don,brandon@hmail.com,MANAGER,,,,0,,
TaylorSwift,tay,tayswifty@email.com,FACULTY,,,,0,,
HomerTime,asdfmovie10*,HomerSimpson@gmail.com,VISITOR,,,,0,,
ghost,pass5,ghost@example.com,NON_FACULTY,,,,0,,
vampire,pass2,vampire@example.com,NON_FACULTY,,,,0,,
zombie,pass3,zombie@example.com,FACULTY,,,,0,,
ghost,pass5,ghost@example.com,NON_FACULTY,,,,0,,
Penguin,LLUVMYCARRy3,MyBottem@hotmail.com,STUDENT,,,,0,,
Penguin,LLUVMYCARRy3,MyBottem@hotmail.com,STUDENT,,,,0,,
user,NyOmMMMMy:3,studn@email.com,STUDENT,,,,0,,
student,NyOmMMMMy:3,studn@email.com,STUDENT,,,,0,giggle crying,
mamager:D,NyOmMMMMy:3,no@manager.com,MANAGER,,,,0,,
visit,NyOmMMMMy:3,visit@no.com,VISITOR,,,,0,,
faculty1,NyOmMMMMy:3,facult@woowie.com,FACULTY,2024-05-07 accordion accordion,2024-05-07,,0,giggle crying,no accordion nyo aaaaaaa
user2,NyOmMMMMy:3,studn@email.com,STUDENT,,,,0,,
nonfaculty,NyOmMMMMy:3,nofasc@email.com,NON_FACULTY,,,,0,,
student2,NyOmMMMMy:3,studn@email.com,STUDENT,,,,0,,
user,NyOmMMMMy:3,studn@email.com,STUDENT,,,,0,,
student,NyOmMMMMy:3,studn@email.com,STUDENT,,,,0,,
mamager:D,NyOmMMMMy:3,no@manager.com,MANAGER,,,,0,,
visit,NyOmMMMMy:3,visit@no.com,VISITOR,,,,0,,
faculty1,NyOmMMMMy:3,facult@woowie.com,FACULTY,,,,0,,
user2,NyOmMMMMy:3,studn@email.com,STUDENT,,,,0,,
nonfaculty,NyOmMMMMy:3,nofasc@email.com,NON_FACULTY,,,,0,,
student2,NyOmMMMMy:3,studn@email.com,STUDENT,,,,0,,
